,dp_id,MissedWeeds,MissedCrop,CasW,WasC,FPWeed,FPCrop,Total,labeled_instances,actual_instances
379,5ecf56ab937b7d18df9fe6a4,0,0,0,0,1,0,1,3,2
380,5ed5c0ab78009e34afceaf88,0,0,0,0,1,0,1,5,4
381,5ec3a8d4a2ac22245c05225e,0,0,0,1,0,3,4,5,6
382,5ed058a3db4f9512559550cb,0,0,1,0,2,0,3,5,2
383,5ec5781268d373ba5bd742f4,0,0,0,0,0,0,0,2,2
384,5ec5781268d373ba5bd742f3,1,1,0,0,0,0,2,1,2
385,5ec5781268d373ba5bd742ef,0,0,1,0,1,0,2,8,6
386,5ecf2615db68b7f9b5cde680,7,1,0,0,0,0,8,2,9
387,5ed46dd3f9a116c31a7df98b,0,0,0,0,0,1,1,6,6
388,5ed7254c9b1b9387756b7836,0,0,0,1,0,0,1,4,5
389,5ed467b50677cfb2a342625e,0,0,0,0,0,1,1,13,13
390,5ece10b8857d5439e7794be2,0,0,0,0,0,0,0,1,1
391,5ed0b8ffe004e9cdc93f02f5,0,0,0,0,0,0,0,7,7
392,5ed5c0b59737ca06a1d79878,0,1,0,0,0,1,2,11,11
393,5ed4f5ceefac2908528f37e8,0,0,0,3,0,0,3,3,6
